path,length,format,width,height,iscubemap,mipmapcount,regioncount,glyphgroupcount
textures/1_2_5.aei,16409,Rgba8,64,64,False,1,1,0
textures/1_2_5_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_5_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/1_2_5_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_0.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_1.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_1_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_5.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_5_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_5_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_5_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_6.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_6_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_6_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_6_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_7.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_7_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_7_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_7_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/1_3_8.aei,8217,Rgba8,64,32,False,1,1,0
textures/1_3_8_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/1_3_8_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
